No    | English            | Vietnamese
4965  | recreation         | giai tri
4966  | recruit            | tuyen dung
4967  | rectangle          | hinh chu nhat
4968  | red                | do
4969  | redesign           | thiet ke lai
4970  | redhead            | toc do
4971  | redirect           | chuyen huong
4972  | rediscovery        | kham pha
4973  | reduction          | giam
4974  | reef               | reef
4975  | refectory          | an
4976  | reference          | tai lieu tham khao
4977  | referendum         | trung
4978  | reflection         | su phan anh
4979  | reform             | cai cach
4980  | refreshments       | khat
4981  | refrigerator       | tu lanh
4982  | refuge             | an nau
4983  | refund             | hoan lai tien
4984  | refusal            | tu choi
4985  | refuse             | tu choi
4986  | regard             | doi
4987  | regime             | che do
4988  | region             | khu vuc
4989  | regionalism        | chu nghia
4990  | register           | dang ky
4991  | registration       | dang ky
4992  | registry           | van
4993  | regret             | hoi tiec
4994  | regulation         | quy dinh
4995  | regulator          | dieu
4996  | rehospitalisation  | rehospitalisation
4997  | rehospitalization  | rehospitalization
4998  | reindeer           | tuan loc
4999  | reinscription      | reinscription
5000  | reject             | tu choi
5001  | relation           | moi quan he
5002  | relationship       | moi quan he
5003  | relative           | tuong doi
5004  | relaxation         | thu gian
5005  | relay              | tiep
5006  | release            | phat hanh
5007  | reliability        | do tin cay
5008  | relief             | nhe nhom
5009  | religion           | ton giao
5010  | relish             | thuong thuc
5011  | reluctance         | mien cuong
5012  | remains            | van
5013  | remark             | ghi chu
5014  | reminder           | nhac nho
5015  | remnant            | con sot lai
5016  | remote             | tu xa
5017  | removal            | loai
5018  | renaissance        | phuc hung
5019  | rent               | thue
5020  | reorganisation     | to chuc lai
5021  | reorganization     | to chuc lai
5022  | repair             | sua chua
5023  | reparation         | den bu
5024  | repayment          | tra no
5025  | repeat             | lap lai
5026  | replacement        | thay the
5027  | replica            | ban sao
5028  | replication        | nhan rong
5029  | reply              | tra loi
5030  | report             | bao cao
5031  | reporter           | reporter
5032  | reporting          | bao cao
5033  | repository         | kho luu tru
5034  | representation     | dai dien
5035  | representative     | dai dien
5036  | reprocessing       | tai che
5037  | republic           | cong hoa
5038  | republican         | dang cong hoa
5039  | reputation         | danh tieng
5040  | request            | yeu cau
5041  | requirement        | yeu cau
5042  | resale             | ban lai
5043  | rescue             | giai cuu
5044  | research           | nghien cuu
5045  | researcher         | nha nghien cuu
5046  | resemblance        | giong
5047  | reservation        | dat phong
5048  | reserve            | du tru
5049  | reservoir          | ho chua
5050  | reset              | thiet lap lai
5051  | residence          | residence
5052  | resident           | cu dan
5053  | residue            | can
5054  | resist             | chong lai
5055  | resistance         | khang
5056  | resolution         | giai quyet
5057  | resolve            | giai quyet
5058  | resort             | resort
5059  | resource           | tai nguyen
5060  | respect            | ton trong
5061  | respite            | thoi gian nghi ngoi
5062  | response           | phan ung
5063  | responsibility     | trach nhiem
5064  | rest               | phan con lai
5065  | restaurant         | nha hang
5066  | restoration        | phuc hoi
5067  | restriction        | han che
5068  | restroom           | phong ve sinh
5069  | restructuring      | co cau
5070  | result             | qua
5071  | resume             | tiep tuc
5072  | retailer           | ban le
5073  | retention          | giu
5074  | rethinking         | xem xet lai
5075  | retina             | vong mac
5076  | retirement         | nghi huu
5077  | retouching         | chinh sua
5078  | retreat            | rut lui
5079  | retrospect         | nhin lai
5080  | retrospective      | hoi
5081  | retrospectivity    | retrospectivity
5082  | return             | tro lai
5083  | reunion            | doan tu
5084  | revascularisation  | revascularisation
5085  | revascularization  | tai thong mach mau
5086  | reveal             | tiet lo
5087  | revelation         | mac khai
5088  | revenant           | quay tro lai
5089  | revenge            | tra thu
5090  | revenue            | thu
5091  | reversal           | su dao nguoc
5092  | reverse            | nguoc lai
5093  | review             | xet
5094  | revitalisation     | hoi sinh
5095  | revitalization     | phuc hoi
5096  | revival            | su hoi sinh
5097  | revolution         | cuoc cach mang
5098  | revolver           | khau sung
5099  | reward             | phan thuong
5100  | rhetoric           | hung bien
5101  | rheumatism         | thap khop
5102  | rhinoceros         | te giac
5103  | rhubarb            | hoang
5104  | rhyme              | van
5105  | rhythm             | nhip dieu
5106  | rib                | xuong suon
5107  | ribbon             | bang
5108  | rice               | gao
5109  | riddle             | riddle
5110  | ride               | ride
5111  | rider              | rider
5112  | ridge              | ridge
5113  | riding             | ngua
5114  | rifle              | sung truong
5115  | right              | dung
5116  | rim                | vanh
5117  | ring               | chiec nhan
5118  | ringworm           | binh
5119  | riot               | riot
5120  | rip                | rip
5121  | ripple             | gon
5122  | rise               | tang
5123  | riser              | day
5124  | risk               | nguy co
5125  | rite               | nghi thuc
5126  | ritual             | nghi le
5127  | river              | song
5128  | riverbed           | long song
5129  | rivulet            | con lach
5130  | road               | duong
5131  | roadway            | duong
5132  | roar               | tieng gam
5133  | roast              | nuong
5134  | robe               | ao choang
5135  | robin              | robin
5136  | robot              | robot
5137  | robotics           | robotics
5138  | rock               | rock
5139  | rocker             | rocker
5140  | rocket             | ten lua
5141  | rocket-ship        | ten lua-tau
5142  | rod                | rod
5143  | role               | vai tro
5144  | roll               | cuon
5145  | roller             | lan
5146  | romaine            | xa lach
5147  | romance            | lang man
5148  | roof               | mai nha
5149  | room               | phong
5150  | roommate           | ban cung phong
5151  | rooster            | rooster
5152  | root               | goc
5153  | rope               | soi day thung
5154  | rose               | rose
5155  | rosemary           | huong thao
5156  | roster             | danh sach
5157  | rostrum            | mom
5158  | rotation           | xoay
5159  | round              | vong
5160  | roundabout         | vong xoay
5161  | route              | tuyen duong
5162  | router             | dinh tuyen
5163  | routine            | thoi quen
5164  | row                | hang
5165  | rowboat            | chiec xuong
5166  | rowing             | cheo
5167  | rubber             | cao su
5168  | rubbish            | rac
5169  | rubric             | danh gia
5170  | ruby               | ruby
5171  | ruckus             | tieng on ao
5172  | rudiment           | buoc dau
5173  | ruffle             | kic
5174  | rug                | rug
5175  | rugby              | bong bau duc
5176  | ruin               | huy hoai
5177  | rule               | quy tac
5178  | ruler              | cai tri
5179  | ruling             | phan quyet
5180  | rum                | ruou rum
5181  | rumor              | tin don
5182  | run                | chay
5183  | runaway            | chay tron
5184  | runner             | nhi
5185  | running            | chay
5186  | runway             | runway
5187  | rush               | voi vang
5188  | rust               | rust
5189  | rutabaga           | thuy dien
5190  | rye                | lua mach den
5191  | sabre              | thanh guom
5192  | sac                | sac
5193  | sack               | sack
5194  | saddle             | yen ngua
5195  | sadness            | noi buon
5196  | safari             | safari
5197  | safe               | an toan
5198  | safeguard          | bao ve
5199  | safety             | an toan
5200  | saffron            | nghe tay
5201  | sage               | hien
5202  | sail               | buom
5203  | sailboat           | thuyen buom
5204  | sailing            | thuyen
5205  | sailor             | thuy thu
5206  | saint              | saint
5207  | sake               | vi loi ich
5208  | salad              | salad
5209  | salami             | xuc xich
5210  | salary             | luong
5211  | sale               | ban
5212  | salesman           | nhan vien ban hang
5213  | salmon             | ca hoi
5214  | salon              | salon
5215  | saloon             | saloon
5216  | salsa              | salsa
5217  | salt               | muoi
5218  | salute             | chao
5219  | samovar            | samovar
5220  | sampan             | xuong nho
5221  | sample             | mau
5222  | samurai            | samurai
5223  | sanction           | xu phat
5224  | sanctity           | thieng lieng
5225  | sanctuary          | thanh
5226  | sand               | cat
5227  | sandal             | dep
5228  | sandbar            | cat
5229  | sandpaper          | giay nham
5230  | sandwich           | banh sandwich
5231  | sanity             | su tinh tao
5232  | sardine            | sardine
5233  | sari               | sari
5234  | sarong             | cap
5235  | sash               | cua
5236  | satellite          | ve tinh
5237  | satin              | satin
5238  | satire             | cham biem
5239  | satisfaction       | su hai long
5240  | sauce              | nuoc sot
5241  | saucer             | chiec dia
5242  | sauerkraut         | dua chua
5243  | sausage            | xuc xich
5244  | savage             | da man
5245  | savannah           | savannah
5246  | saving             | tiet kiem
5247  | savings            | tiet kiem
5248  | savior             | dang cuu the
5249  | saviour            | dang cuu the
5250  | savory             | man
5251  | saw                | thay
5252  | saxophone          | saxophone
5253  | scaffold           | dai
5254  | scale              | quy mo
5255  | scallion           | hanh
5256  | scallops           | so
5257  | scalp              | da dau
5258  | scam               | lua dao
5259  | scanner            | may quet
5260  | scarecrow          | bu nhin
5261  | scarf              | khan
5262  | scarification      | rach vo cay
5263  | scenario           | kich ban
5264  | scene              | canh
5265  | scenery            | phong canh
5266  | scent              | mui huong
5267  | schedule           | lich trinh
5268  | scheduling         | lap ke hoach
5269  | schema             | do
5270  | scheme             | chuong trinh
5271  | schizophrenic      | tam than phan liet
5272  | schnitzel          | schnitzel
5273  | scholar            | hoc gia
5274  | scholarship        | hoc bong
5275  | school             | truong
5276  | schoolhouse        | ngoi truong
5277  | schooner           | buom
5278  | science            | khoa hoc
5279  | scientist          | nha khoa hoc
5280  | scimitar           | thanh ma tau,
5281  | scissors           | keo
5282  | scooter            | scooter
5283  | scope              | pham vi
5284  | score              | diem
5285  | scorn              | khinh miet
5286  | scorpion           | scorpion
5287  | scotch             | scotch
5288  | scout              | huong dao sinh
5289  | scow               | tau day bang
5290  | scrambled          | tranh gianh
5291  | scrap              | phe lieu
5292  | scraper            | scraper
5293  | scratch            | dau
5294  | screamer           | screamer
5295  | screen             | man hinh
5296  | screening          | chieu
5297  | screenwriting      | kich
5298  | screw              | vit
5299  | screw-up           | vit-len
5300  | screwdriver        | tuoc no vit
5301  | scrim              | moi
5302  | scrip              | bao
5303  | script             | kich ban
5304  | scripture          | kinh thanh
5305  | scrutiny           | giam sat
5306  | sculpting          | dieu khac
5307  | sculptural         | dieu khac
5308  | sculpture          | dieu khac
5309  | sea                | bien
5310  | seabass            | ca
5311  | seafood            | hai san
5312  | seagull            | con mong bien
5313  | seal               | con dau
5314  | seaplane           | thuy phi co
5315  | search             | tim kiem
5316  | seashore           | bo bien
5317  | seaside            | ben bo bien
5318  | season             | season
5319  | seat               | cho ngoi
5320  | seaweed            | rong bien
5321  | second             | thu hai
5322  | secrecy            | bi mat
5323  | secret             | bi mat
5324  | secretariat        | thu ky
5325  | secretary          | thu ky
5326  | secretion          | tiet
5327  | section            | phan
5328  | sectional          | cat
5329  | sector             | khu vuc
5330  | security           | an ninh
5331  | sediment           | bun
5332  | seed               | giong
5333  | seeder             | nhu cau
5334  | seeker             | tam thu
5335  | seep               | tham
5336  | segment            | khuc
5337  | seizure            | bat giu
5338  | selection          | lua chon
5339  | self               | tu
5340  | self-confidence    | su tu tin
5341  | self-control       | tu kiem soat
5342  | self-esteem        | long tu trong
5343  | seller             | ban
5344  | selling            | ban
5345  | semantics          | ngu nghia
5346  | semester           | hoc ky
5347  | semicircle         | hinh nguyet
5348  | semicolon          | cham phay
5349  | semiconductor      | ban dan
5350  | seminar            | thao
5351  | senate             | thuong vien
5352  | senator            | thuong nghi si
5353  | sender             | sender
5354  | senior             | senior
5355  | sense              | cam giac
5356  | sensibility        | nhay cam
5357  | sensitive          | nhay cam
5358  | sensitivity        | nhay cam
5359  | sensor             | cam bien
5360  | sentence           | cau
5361  | sentencing         | tuyen an
5362  | sentiment          | tinh cam
5363  | sepal              | dai
5364  | separation         | tach
5365  | septicaemia        | nhiem
5366  | sequel             | phan tiep theo
5367  | sequence           | chuoi
5368  | serial             | noi tiep
5369  | series             | loat
5370  | sermon             | bai giang
5371  | serum              | huyet thanh
5372  | serval             | dom
5373  | servant            | to
5374  | server             | may chu
5375  | service            | dich vu
5376  | servitude          | no le
5377  | sesame             | me
5378  | session            | buoi
5379  | set                | dat
5380  | setback            | that bai
5381  | setting            | thiet lap
5382  | settlement         | khu dinh cu
5383  | settler            | nguoi dinh cu
5384  | severity           | muc do nghiem trong
5385  | sewer              | he thong thoat nuoc
5386  | sex                | tinh duc
5387  | sexuality          | tinh duc
5388  | shack              | shack
5389  | shackle            | cong
5390  | shade              | bong ram
5391  | shadow             | shadow
5392  | shadowbox          | shadowbox
5393  | shakedown          | shakedown
5394  | shaker             | lac
5395  | shallot            | phi hanh
5396  | shallows           | vung nuoc nong
5397  | shame              | xau ho
5398  | shampoo            | dau goi
5399  | shanty             | shanty
5400  | shape              | hinh dang
5401  | share              | chia se
5402  | shareholder        | co dong
5403  | shark              | ca map
5404  | shaw               | shaw
5405  | shawl              | choang
5406  | shear              | cat
5407  | shearling          | long cuu
5408  | sheath             | vo boc
5409  | shed               | nha kho
5410  | sheep              | cuu
5411  | sheet              | to
5412  | shelf              | ke
5413  | shell              | vo
5414  | shelter            | noi tru an
5415  | sherbet            | nuoc trai cay
5416  | sherry             | sherry
5417  | shield             | shield
5418  | shift              | thay doi
5419  | shin               | shin
5420  | shine              | toa sang
5421  | shingle            | da cuoi
5422  | ship               | tau
5423  | shipper            | nguoi ban hang
5424  | shipping           | van
5425  | shipyard           | xuong
5426  | shirt              | ao so mi
5427  | shirtdress         | danh cho nam gioi uk
5428  | shit               | shit
5429  | shoat              | shoat
5430  | shock              | soc
5431  | shoe               | giay
5432  | shoe-horn          | giay-horn
5433  | shoehorn           | dua
5434  | shoelace           | day giay
5435  | shoemaker          | tho dong giay
5436  | shoes              | giay
5437  | shoestring         | eo hep
5438  | shofar             | shofar
5439  | shoot              | ban
5440  | shootdown          | ban ha
5441  | shop               | cua hang
5442  | shopper            | mua sam
5443  | shopping           | mua sam
5444  | shore              | bo bien
5445  | shoreline          | bo bien
5446  | short              | ngan
5447  | shortage           | thieu hut
5448  | shorts             | quan dui
5449  | shortwave          | song ngan
5450  | shot               | ban
5451  | shoulder           | vai
5452  | shout              | het len
5453  | shovel             | xeng
5454  | show               | show
5455  | show-stopper       | show o aberdeen
5456  | shower             | voi hoa sen
5457  | shred              | xoa sach
5458  | shrimp             | tom
5459  | shrine             | dien tho
5460  | shutdown           | tat may
5461  | sibling            | anh chi em
5462  | sick               | benh
5463  | sickness           | benh tat
5464  | side               | ben
5465  | sideboard          | tu
5466  | sideburns          | toc mai
5467  | sidecar            | ben canh
5468  | sidestream         | sidestream
5469  | sidewalk           | via he
5470  | siding             | dung ve phia
5471  | siege              | bao vay
5472  | sigh               | tho dai
5473  | sight              | canh
5474  | sightseeing        | ngam canh
5475  | sign               | dung
5476  | signal             | tin hieu
5477  | signature          | chu ky
5478  | signet             | coi
5479  | significance       | y nghia
5480  | signify            | bieu
5481  | signup             | dang ky
5482  | silence            | im lang
5483  | silica             | silica
5484  | silicon            | silicon
5485  | silk               | lua
5486  | silkworm           | tam
5487  | sill               | be
5488  | silly              | ngo ngan
5489  | silo               | ham chua
5490  | silver             | bac
5491  | similarity         | giong nhau
5492  | simple             | don gian
5493  | simplicity         | don gian
5494  | simplification     | don gian hoa
5495  | simvastatin        | simvastatin
5496  | sin                | toi loi
5497  | singer             | ca si
5498  | singing            | ca hat
5499  | singular           | it
5500  | sink               | chim
5501  | sinuosity          | trang thai quanh co
5502  | sip                | ngum
5503  | sir                | thua ngai
5504  | sister             | em gai
5505  | sister-in-law      | chi dau
5506  | sitar              | buoi
5507  | site               | trang web
5508  | situation          | tinh hinh
5509  | size               | kich thuoc
5510  | skate              | skate
5511  | skating            | truot bang
5512  | skean              | skean
5513  | skeleton           | bo xuong
5514  | ski                | truot tuyet
5515  | skiing             | truot tuyet
5516  | skill              | ky nang
5517  | skin               | da
5518  | skirt              | vay
5519  | skull              | hop so
5520  | skullcap           | xuong so
5521  | skullduggery       | gioi noi doi
5522  | skunk              | con chon hoi
5523  | sky                | sky
5524  | skylight           | bau troi
5525  | skyline            | skyline
5526  | skyscraper         | toa nha choc troi
5527  | skywalk            | di
5528  | slang              | tieng long
5529  | slapstick          | vui nhon
5530  | slash              | chem
5531  | slate              | slate
5532  | slave              | no le
5533  | slavery            | che do no le
5534  | slaw               | lach tron
5535  | sled               | chiec xe truot tuyet
5536  | sledge             | ta
5537  | sleep              | ngu
5538  | sleepiness         | buon ngu
5539  | sleeping           | ngu
5540  | sleet              | mua
5541  | sleuth             | sleuth
5542  | slice              | lat
5543  | slide              | slide
5544  | slider             | truot
5545  | slime              | chat nhon
5546  | slip               | truot
5547  | slipper            | dep
5548  | slippers           | dep
5549  | slope              | doc
5550  | slot               | khe
5551  | sloth              | con luoi
5552  | slump              | sut
5553  | smell              | mui
5554  | smelting           | nong chay
5555  | smile              | nu cuoi
5556  | smith              | smith
5557  | smock              | ao khoac
5558  | smog               | suong mu
5559  | smoke              | khoi
5560  | smoking            | hut thuoc
5561  | smolt              | smolt
5562  | smuggling          | buon lau
5563  | snack              | snack
5564  | snail              | oc
5565  | snake              | con ran
5566  | snakebite          | ran can
5567  | snap               | chup
5568  | snarl              | tieng gam gu
5569  | sneaker            | giay
5570  | sneakers           | giay
5571  | sneeze             | hat hoi
5572  | sniffle            | khit mui
5573  | snob               | snob
5574  | snorer             | tat do
5575  | snow               | tuyet
5576  | snowboarding       | truot tuyet
5577  | snowflake          | bong tuyet
5578  | snowman            | snowman
5579  | snowmobiling       | truot tuyet
5580  | snowplow           | xe ui tuyet
5581  | snowstorm          | bao tuyet
5582  | snowsuit           | dong
5583  | snuck              | len
5584  | snug               | am cung
5585  | snuggle            | ruc
5586  | soap               | xa phong
5587  | soccer             | bong da
5588  | socialism          | chu nghia xa hoi
5589  | socialist          | xa hoi chu nghia
5590  | society            | xa hoi
5591  | sociology          | xa hoi hoc
5592  | sock               | sock
5593  | socks              | vo
5594  | soda               | soda
5595  | sofa               | sofa
5596  | softball           | bong chay
5597  | softdrink          | nuoc ngot
5598  | softening          | lam mem
5599  | software           | phan mem
5600  | soil               | dat
5601  | soldier            | nguoi linh
5602  | sole               | duy nhat
5603  | solicitation       | chao moi
5604  | solicitor          | luat su
5605  | solidarity         | doan ket
5606  | solidity           | vung chac
5607  | soliloquy          | doc thoai
5608  | solitaire          | solitaire
5609  | solution           | giai phap
5610  | solvency           | kha nang thanh toan
5611  | sombrero           | mu
5612  | somebody           | ai do
5613  | someone            | mot nguoi nao do
5614  | someplace          | mot noi nao do
5615  | somersault         | lon nhao
5616  | something          | mot cai gi do
5617  | somewhere          | mot noi nao do
5618  | son                | con trai
5619  | sonar              | song am
5620  | sonata             | sonata
5621  | song               | bai hat
5622  | songbird           | chim son ca
5623  | sonnet             | bai tho
5624  | soot               | muoi
5625  | sophomore          | sinh vien nam hai
5626  | soprano            | giong nu cao
5627  | sorbet             | kem
5628  | sorghum            | mien
5629  | sorrel             | sorrel
5630  | sorrow             | noi buon
5631  | sort               | sap xep
5632  | soul               | linh hon
5633  | soulmate           | doi
5634  | sound              | am thanh
5635  | soundness          | dung dan
5636  | soup               | sup
5637  | source             | nguon
5638  | sourwood           | sourwood
5639  | sousaphone         | sousaphone
5640  | south              | phia nam
5641  | southeast          | dong nam
5642  | souvenir           | luu niem
5643  | sovereignty        | chu quyen
5644  | sow                | gieo
5645  | soy                | dau nanh
5646  | soybean            | dau nanh
5647  | space              | khong gian
5648  | spacing            | khoang cach
5649  | spade              | spade
5650  | spaghetti          | spaghetti
5651  | span               | khoang
5652  | spandex            | thun
5653  | spank              | spank
5654  | sparerib           | suon lon
5655  | spark              | spark
5656  | sparrow            | sparrow
5657  | spasm              | co that
5658  | spat               | nho
5659  | spatula            | thia
5660  | spawn              | spawn
5661  | speaker            | loa
5662  | speakerphone       | loa
5663  | speaking           | noi
5664  | spear              | spear
5665  | spec               | dac
5666  | special            | dac biet
5667  | specialist         | chuyen gia
5668  | specialty          | dac san
5669  | species            | loai
5670  | specification      | dac diem ky thuat
5671  | spectacle          | canh tuong
5672  | spectacles         | kinh
5673  | spectrograph       | hoan
5674  | spectrum           | pho
5675  | speculation        | suy doan
5676  | speech             | bai phat bieu
5677  | speed              | toc do
5678  | speedboat          | tau cao toc
5679  | spell              | danh van
5680  | spelling           | chinh ta
5681  | spelt              | danh van
5682  | spending           | chi tieu
5683  | sphere             | cau
5684  | sphynx             | bombay
5685  | spice              | spice
5686  | spider             | spider
5687  | spiderling         | spiderling
5688  | spike              | spike
5689  | spill              | tran
5690  | spinach            | rau cai
5691  | spine              | cot song
5692  | spiral             | xoan oc
5693  | spirit             | tinh than
5694  | spiritual          | tinh than
5695  | spirituality       | linh
5696  | spit               | nho
5697  | spite              | mac du
5698  | spleen             | la lach
5699  | splendor           | long lay
5700  | split              | phan chia
5701  | spokesman          | phat ngon vien
5702  | spokeswoman        | phat ngon vien
5703  | sponge             | xop
5704  | sponsor            | nha tai tro
5705  | sponsorship        | tai tro
5706  | spool              | ong
5707  | spoon              | spoon
5708  | spork              | ... ngay
5709  | sport              | the duc the thao
5710  | sportsman          | van
5711  | spot               | tai cho
5712  | spotlight          | spotlight
5713  | spouse             | vo chong
5714  | sprag              | sprag
5715  | sprat              | ca trich
5716  | spray              | phun
5717  | spread             | lay lan
5718  | spreadsheet        | bang
5719  | spree              | cuoc vui
5720  | spring             | mua xuan
5721  | sprinkles          | rac
5722  | sprinter           | chay nuoc rut
5723  | sprout             | sprout
5724  | spruce             | sam
5725  | spud               | spud
5726  | spume              | bot
5727  | spur               | khong
5728  | spy                | theo doi
5729  | spyglass           | kinh
5730  | square             | square
5731  | squash             | bi
5732  | squatter           | tam bo
5733  | squeegee           | gat
5734  | squid              | muc
5735  | squirrel           | squirrel
5736  | stab               | dam
5737  | stability          | on dinh
5738  | stable             | on dinh
5739  | stack              | chong
5740  | stacking           | xep
5741  | stadium            | san van dong
5742  | staff              | nhan vien
5743  | stag               | con huou
5744  | stage              | giai doan
5745  | stain              | vet
5746  | stair              | cau thang
5747  | staircase          | cau thang
5748  | stake              | bi de doa
5749  | stalk              | cuong
5750  | stall              | chong chanh
5751  | stallion           | stallion
5752  | stamen             | nhi
5753  | stamina            | suc chiu dung
5754  | stamp              | tem
5755  | stance             | lap truong
5756  | stand              | dung
5757  | standard           | chuan
5758  | standardisation    | tieu chuan hoa
5759  | standardization    | chuan
5760  | standing           | dung
5761  | standoff           | be tac
5762  | standpoint         | quan diem
5763  | star               | sao
5764  | starboard          | man phai
5765  | start              | bat dau
5766  | starter            | khoi dong
5767  | state              | nuoc
5768  | statement          | tuyen bo
5769  | statin             | thuoc giam cholesterol
5770  | station            | tram
5771  | station-wagon      | station wagon
5772  | statistic          | so lieu thong ke
5773  | statistics         | so lieu thong ke
5774  | statue             | buc tuong
5775  | status             | tinh trang
5776  | statute            | luat
5777  | stay               | o lai
5778  | steak              | bit tet
5779  | stealth            | tang hinh
5780  | steam              | hoi
5781  | steamroller        | tuong tu
5782  | steel              | thep
5783  | steeple            | gac chuong
5784  | stem               | goc
5785  | stench             | mui hoi thoi
5786  | stencil            | giay nen
5787  | step               | buoc
5788  | step-aunt          | buoc-co
5789  | step-brother       | buoc anh trai
5790  | step-daughter      | buoc con gai
5791  | step-father        | bo con
5792  | step-grandfather   | ong noi
5793  | step-grandmother   | buoc-ba
5794  | step-mother        | buoc-me
5795  | step-sister        | buoc chi
5796  | step-son           | buoc con trai
5797  | step-uncle         | buoc-chu
5798  | stepdaughter       | me
5799  | stepmother         | me ke
5800  | stepping-stone     | buoc da
5801  | stepson            | con
5802  | stereo             | stereo
5803  | stew               | ham
5804  | steward            | steward
5805  | stick              | dinh
5806  | sticker            | sticker
5807  | stiletto           | giay
5808  | still              | van
5809  | stimulation        | su kich thich
5810  | stimulus           | kich thich
5811  | sting              | sting
5812  | stinger            | ngoi
5813  | stir-fry           | cac din-fry
5814  | stitch             | khau
5815  | stitcher           | tho may
5816  | stock              | trong kho
5817  | stock-in-trade     | co phieu thuong mai
5818  | stockings          | vo
5819  | stole              | mot sto
5820  | stomach            | da day
5821  | stone              | da
5822  | stonework          | da
5823  | stool              | phan
5824  | stop               | dung lai
5825  | stopsign           | stopsign
5826  | stopwatch          | dong ho bam gio
5827  | storage            | luu tru
5828  | store              | cua hang
5829  | storey             | tang
5830  | storm              | storm
5831  | story              | cau chuyen
5832  | story-telling      | ke chuyen
5833  | storyboard         | kich ban
5834  | stot               | Toi sto
5835  | stove              | bep
5836  | strait             | strait
5837  | strand             | soi
5838  | stranger           | la
5839  | strap              | day deo
5840  | strategy           | chien luoc
5841  | straw              | rom
5842  | strawberry         | dau
5843  | strawman           | strawman
5844  | stream             | dong suoi
5845  | street             | duong pho
5846  | streetcar          | xe dien
5847  | strength           | suc manh
5848  | stress             | cang thang
5849  | stretch            | cang
5850  | strife             | xung dot
5851  | strike             | strike
5852  | string             | chuoi
5853  | strip              | dai
5854  | stripe             | ho dai
5855  | strobe             | nhap nhay
5856  | stroke             | dot quy
5857  | structure          | cau truc
5858  | strudel            | strudel
5859  | struggle           | dau tranh
5860  | stucco             | vua
5861  | stud               | dinh
5862  | student            | sinh vien,
5863  | studio             | studio
5864  | study              | nghien cuu
5865  | stuff              | thu
5866  | stumbling          | ngai
5867  | stump              | goc
5868  | stupidity          | ngu ngoc
5869  | sturgeon           | ca tam
5870  | sty                | phong
5871  | style              | phong cach
5872  | styling            | phong cach
5873  | stylus             | but
5874  | sub                | sub
5875  | subcomponent       | tieu hop phan
5876  | subconscious       | tiem thuc
5877  | subcontractor      | nha
5878  | subexpression      | subexpression
5879  | subgroup           | nhom
5880  | subject            | chu de
5881  | submarine          | tau ngam
5882  | submitter          | nguoi dang
5883  | subprime           | duoi chuan,
5884  | subroutine         | con
5885  | subscription       | dang ky
5886  | subsection         | phu
5887  | subset             | Toi subs
5888  | subsidence         | lun
5889  | subsidiary         | con
5890  | subsidy            | tro cap
5891  | substance          | lieu
5892  | substitution       | thay the
5893  | subtitle           | subtitle
5894  | suburb             | ngoai o
5895  | subway             | tau dien ngam
5896  | success            | thanh cong
5897  | succotash          | succotash
5898  | suck               | suck
5899  | sucker             | sucker
5900  | suede              | thuy dien
5901  | suet               | Toi sue
5902  | suffocation        | nghet tho
5903  | sugar              | duong
5904  | suggestion         | de nghi
5905  | suicide            | tu sat
5906  | suit               | phu hop voi
5907  | suitcase           | vali
5908  | suite              | phong suite
5909  | sulfur             | sulfide
5910  | sultan             | sultan
5911  | sum                | sum
5912  | summary            | tom tat
5913  | summer             | mua he
5914  | summit             | hoi nghi thuong dinh
5915  | sun                | anh nang mat troi
5916  | sunbeam            | sunbeam
5917  | sunbonnet          | gian di
5918  | sundae             | sundae
5919  | sunday             | chu nhat
5920  | sundial            | cua nhung cam bien
5921  | sunflower          | huong duong
5922  | sunglasses         | kinh ram
5923  | sunlamp            | sunlamp
5924  | sunlight           | anh sang mat troi
5925  | sunrise            | mat troi moc
5926  | sunroom            | suoi nang
5927  | sunset             | hoang hon
5928  | sunshine           | anh nang mat troi
5929  | superiority        | uu the
5930  | supermarket        | sieu thi
5931  | supernatural       | sieu nhien
5932  | supervision        | giam sat
5933  | supervisor         | giam sat vien
5934  | supper             | bua an toi
5935  | supplement         | bo sung
5936  | supplier           | nha cung cap,
5937  | supply             | cung cap
5938  | support            | ho tro
5939  | supporter          | nguoi ung ho
5940  | suppression        | dan ap
5941  | supreme            | toi cao
5942  | surface            | be mat
5943  | surfboard          | luot song
5944  | surge              | su dot bien
5945  | surgeon            | bac si phau thuat
5946  | surgery            | phau thuat
5947  | surname            | ho
5948  | surplus            | du thua
5949  | surprise           | ngac nhien
5950  | surround           | bao quanh
5951  | surroundings       | moi truong xung quanh
5952  | surrounds          | bao quanh
5953  | survey             | survey
5954  | survival           | su song con
5955  | survivor           | nguoi song sot
5956  | sushi              | sushi
5957  | suspect            | nghi ngo
5958  | suspenders         | treo
5959  | suspension         | treo
5960  | sustainment        | duy tri su song
5961  | sustenance         | nuoi duong
5962  | swallow            | nuot
5963  | swamp              | dam lay
5964  | swan               | swan
5965  | swanling           | swanling
5966  | swath              | vat
5967  | sweat              | mo hoi
5968  | sweater            | ao len
5969  | sweatshirt         | ao
5970  | sweatshop          | boc lot
5971  | sweatsuit          | sweatsuit
5972  | sweets             | keo
5973  | swell              | sung len
5974  | swim               | boi
5975  | swimming           | boi
5976  | swimsuit           | tam
5977  | swine              | heo
5978  | swing              | swing
5979  | switch             | chuyen
5980  | switchboard        | tong dai
5981  | switching          | chuyen
5982  | swivel             | xoay
